0 494,65 -5
148 482,31 0,349999999999994
149 482,22 -1,03333333333333
150 482,14 -5,03333333333333
151 482,06 -0,583333333333329
152 481,97 -0,650000000000006
153 481,89 -2,45
154 481,81 0,183333333333323
155 481,72 -1,7
156 481,64 -1,61666666666667
157 481,56 -2,2
158 481,47 -0,583333333333329
159 481,39 -0,633333333333354
160 481,31 -5,86666666666667
161 481,22 -0,833333333333329
162 481,14 2,68333333333332
163 481,05 -1,88333333333333
164 480,97 -2,61666666666665
165 480,89 -4,90000000000001
166 480,8 -8,06666666666668
167 480,72 -6,16666666666667
168 480,64 -1,55000000000001
169 480,55 -3,41666666666666
170 480,47 -4,75
171 480,39 0,483333333333334
172 480,3 -4,84999999999999
173 480,22 -5,7
174 480,14 -7,65000000000001
175 480,05 -5,69999999999999
176 479,97 -4,18333333333332
177 479,89 -2,43333333333332
178 479,8 -3,16666666666667
179 479,72 -3,91666666666667
180 479,64 -4
181 479,55 -4,21666666666667
182 479,47 -3,68333333333332
183 479,39 -1,76666666666667
184 479,3 -0,450000000000003
185 479,22 -5,86666666666667
186 479,14 0,733333333333334
187 479,05 -5,16666666666667
188 478,97 -5,31666666666668
189 478,89 -4,65000000000001
190 478,8 -6,11666666666667
191 478,72 -4,55000000000001
192 478,64 -2,11666666666667
193 478,55 -0,833333333333329
194 478,47 -8,58333333333333
195 478,39 -6,08333333333333
196 478,3 -7,19999999999999
197 478,22 -2,88333333333333
198 478,14 -1,08333333333333
199 478,05 -5,53333333333333
200 477,97 -4,31666666666668
201 477,88 -1,38333333333333
202 477,8 -3,01666666666667
203 477,72 -3,38333333333333
204 477,63 -4,33333333333333
205 477,55 -2,25
206 477,47 -5,59999999999999
207 477,38 -3,61666666666667
208 477,3 -4,51666666666665
209 477,22 -2,05
210 477,13 -7,95
211 477,05 -2,33333333333333
212 476,97 -5,36666666666666
213 476,88 -4,38333333333333
214 476,8 -5,48333333333333
215 476,72 -3,76666666666667
216 476,63 -2,90000000000001
217 476,55 -3,65000000000001
218 476,47 -6,53333333333333
219 476,38 -4,58333333333333
220 476,3 -7,30000000000001
221 476,22 -7,55
222 476,13 -7
223 476,05 -2,88333333333333
224 475,97 -7,48333333333333
225 475,88 -3,06666666666668
226 475,8 -3,76666666666667
227 475,72 -4,46666666666667
228 475,63 -2,53333333333333
229 475,55 -2,48333333333333
230 475,47 -1,13333333333333
231 475,38 -3,03333333333333
232 475,3 -3,93333333333334
233 475,22 -0,25
234 475,13 -5,88333333333333
235 475,05 -2,08333333333333
236 474,97 -9,23333333333333
237 474,88 -1,71666666666667
238 474,8 -2,09999999999999
239 474,71 -3,78333333333333
240 474,63 -4,01666666666665
241 474,55 -3,21666666666667
242 474,46 -2,76666666666667
243 474,38 -4,13333333333333
244 474,3 -3,53333333333333
245 474,21 -6,41666666666667
246 474,13 -5,73333333333333
247 474,05 -4,28333333333333
248 473,96 -4,96666666666667
249 473,88 -5,76666666666667
250 473,8 -2,91666666666667
251 473,71 -1,65000000000001
252 473,63 -2,96666666666667
253 473,55 -1,43333333333332
254 473,46 -3,56666666666668
255 473,38 -1,15000000000001
256 473,3 -5,58333333333334
257 473,21 -1,11666666666667
258 473,13 -5,46666666666667
259 473,05 -0,866666666666646
260 472,96 -2,63333333333335
261 472,88 -0,583333333333329
262 472,8 -3,8
263 472,71 -0,733333333333334
264 472,63 0,466666666666669
265 472,55 -1,86666666666665
266 472,46 -0,366666666666674
267 472,38 -5,26666666666667
268 472,3 2,46666666666667
269 472,21 -1,13333333333333
270 472,13 -2,01666666666666
271 472,05 -1,65000000000001
272 471,96 -3,73333333333333
273 471,88 -2,63333333333335
274 471,8 1,48333333333333
275 471,71 -0,5
276 471,63 -3,78333333333333
277 471,54 -3,91666666666667
278 471,46 -1
279 471,38 -2,83333333333334
280 471,29 -1,31666666666668
281 471,21 2,06666666666668
282 471,13 -3,5
283 471,04 -4,26666666666667
284 470,96 -1,05
285 470,88 -2,15000000000001
286 470,79 -3,33333333333334
287 470,71 -0,816666666666677
288 470,63 -6
289 470,54 -0,75
290 470,46 -3,58333333333333
291 470,38 -3,65000000000001
292 470,29 -0,549999999999997
293 470,21 -1,15000000000001
294 470,13 -3,33333333333333
295 470,04 -3,46666666666667
296 469,96 -1,84999999999999
297 469,88 -0,283333333333331
298 469,79 -5,05
299 469,71 -0,450000000000003
300 469,63 -2,59999999999999
301 469,54 -2,2
302 469,46 0,733333333333334
303 469,38 -1,18333333333334
304 469,29 -5,06666666666666
305 469,21 -1,63333333333333
306 469,13 -1,96666666666667
307 469,04 -1,66666666666667
308 468,96 -0,333333333333343
309 468,88 -3,2
310 468,79 -1,25
311 468,71 -5,91666666666666
312 468,63 -2,91666666666666
313 468,54 -5,65000000000001
314 468,46 -1,11666666666667
315 468,37 -6,43333333333332
316 468,29 -4,5
317 468,21 0,0666666666666771
318 468,12 -2,26666666666667
319 468,04 -5,83333333333333
320 467,96 -5,56666666666668
321 467,87 -4,63333333333333
322 467,79 -6,68333333333332
323 467,71 -3,15000000000001
324 467,62 -3,25
325 467,54 -3,81666666666668
326 467,46 -6,11666666666667
327 467,37 -3,08333333333333
328 467,29 -3,01666666666667
329 467,21 -3,65000000000001
330 467,12 0,0333333333333314
331 467,04 -5,19999999999999
332 466,96 -4,96666666666667
333 466,87 -1,46666666666667
334 466,79 -3,21666666666667
335 466,71 -4,8
336 466,62 -3,98333333333335
337 466,54 -4,88333333333333
338 466,46 -6,8
339 466,37 -1,76666666666665
340 466,29 -4,33333333333334
341 466,21 0,0499999999999972
342 466,12 0,599999999999994
343 466,04 -3,66666666666667
344 465,96 -7,19999999999999
345 465,87 -0,299999999999997
346 465,79 -1,71666666666667
347 465,71 -3,19999999999999
348 465,62 -3,19999999999999
349 465,54 0,5
350 465,45 -5,33333333333333
351 465,37 -2,03333333333333
352 465,29 -4,5
353 465,2 -3,93333333333332
354 465,12 -3,53333333333333
355 465,04 -1,28333333333333
356 464,95 -7,06666666666668
357 464,87 -0,75
358 464,79 -4,66666666666667
359 464,7 -5,23333333333335
360 464,62 -4,90000000000001
361 464,54 -2,56666666666668
362 464,45 -3,03333333333333
363 464,37 -4,71666666666667
364 464,29 -2,28333333333333
365 464,2 -2,31666666666668
366 464,12 -4,34999999999999
367 464,04 -3,44999999999999
368 463,95 -5,51666666666667
369 463,87 -3,78333333333333
370 463,79 -2,13333333333333
371 463,7 -9,19999999999999
372 463,62 -0,716666666666669
373 463,54 -2,16666666666667
374 463,45 -4,90000000000001
375 463,37 -3,63333333333333
376 463,29 -2,81666666666668
377 463,2 -3,76666666666667
378 463,12 -4,28333333333333
379 463,04 -2,38333333333333
380 462,95 -1,21666666666667
381 462,87 -5,34999999999999
382 462,79 -3,56666666666668
383 462,7 -6,40000000000001
384 462,62 -2,30000000000001
385 462,54 -0,266666666666666
386 462,45 -7,59999999999999
387 462,37 -2,58333333333333
388 462,28 -5,25
389 462,2 -9,18333333333332
390 462,12 -2,06666666666666
391 462,03 -4,76666666666667
392 461,95 -4,90000000000001
393 461,87 -7,03333333333333
394 461,78 -2,66666666666667
395 461,7 -6,06666666666668
396 461,62 -1,08333333333333
397 461,53 -9,90000000000001
398 461,45 -6,58333333333333
399 461,37 -4,83333333333334
400 461,28 -6,61666666666665
401 461,2 -3,08333333333333
402 461,12 -4,28333333333333
403 461,03 -1,31666666666668
404 460,95 -1,38333333333333
405 460,87 -6,38333333333333
406 460,78 -6,01666666666667
407 460,7 -3,21666666666667
408 460,62 -4,36666666666666
409 460,53 -4
410 460,45 -1,51666666666667
411 460,37 -3,26666666666665
412 460,28 -4,19999999999999
413 460,2 -3,51666666666667
414 460,12 -3,48333333333333
415 460,03 -5,76666666666667
416 459,95 -1,78333333333333
417 459,87 -6,66666666666667
418 459,78 -5,88333333333333
419 459,7 -1,78333333333333
420 459,62 -1,81666666666668
421 459,53 -6,09999999999999
422 459,45 -4,06666666666668
423 459,37 -1,11666666666665
424 459,28 -1,81666666666668
425 459,2 -3,73333333333333
426 459,11 -3,13333333333333
427 459,03 -3,15000000000001
428 458,95 -2,40000000000001
429 458,86 -0,900000000000006
430 458,78 -4,83333333333334
431 458,7 -4,76666666666667
432 458,61 -7,41666666666666
433 458,53 -2,33333333333333
434 458,45 -2,88333333333333
435 458,36 -4,38333333333335
436 458,28 -5,28333333333333
437 458,2 -4,16666666666667
438 458,11 -3,43333333333332
439 458,03 -0,300000000000011
440 457,95 -0,516666666666652
441 457,86 1,2
442 457,78 -1,06666666666668
443 457,7 2,08333333333333
444 457,61 -2,51666666666665
445 457,53 1,98333333333333
446 457,45 -0,533333333333331
447 457,36 3,94999999999999
448 457,28 -3,83333333333334
449 457,2 -4,08333333333333
450 457,11 -1,56666666666668
451 457,03 -1,05
452 456,95 0,266666666666666
453 456,86 -4,63333333333333
454 456,78 -1,05
455 456,7 3,01666666666665
456 456,61 -1,46666666666667
457 456,53 -2,98333333333333
458 456,45 -5,73333333333334
459 456,36 -0,983333333333348
460 456,28 -3,65000000000001
461 456,2 0,383333333333326
462 456,11 -0,816666666666677
463 456,03 -2,01666666666665
464 455,94 -1,80000000000001
465 455,86 -1,23333333333333
466 455,78 -1,88333333333333
467 455,69 2,55
468 455,61 -4,15000000000001
469 455,53 2,7
470 455,44 -0,25
471 455,36 1,55000000000001
472 455,28 -2,3
473 455,19 -0,633333333333326
474 455,11 -0,966666666666669
475 455,03 -2,31666666666666
476 454,94 -1,76666666666665
477 454,86 0,233333333333334
478 454,78 -4,45
479 454,69 0,666666666666657
480 454,61 -1,25
481 454,53 -1,7
482 454,44 -2,90000000000001
483 454,36 -3,48333333333335
484 454,28 -4,08333333333333
485 454,19 -3,75
486 454,11 -1,98333333333333
487 454,03 -3,13333333333333
488 453,94 -7,26666666666667
489 453,86 -3,93333333333333
490 453,78 -2,90000000000001
491 453,69 -1,26666666666665
492 453,61 1,7
493 453,53 -2,61666666666667
494 453,44 -3,34999999999999
495 453,36 -1,76666666666665
496 453,28 -3,75
497 453,19 0,416666666666671
498 453,11 -2,78333333333333
499 453,03 -4,46666666666667
500 452,94 -1,96666666666667
501 452,86 0,733333333333334
502 452,77 2,23333333333333
503 452,69 -2,21666666666667
504 452,61 -2,68333333333332
505 452,52 -0,316666666666663
506 452,44 -2,71666666666667
507 452,36 -5,11666666666665
508 452,27 -3,11666666666667
509 452,19 -0,466666666666669
510 452,11 -4,84999999999999
511 452,02 -1,48333333333333
512 451,94 -3,53333333333333
513 451,86 -4,51666666666667
514 451,77 -6,16666666666667
515 451,69 -1,68333333333334
516 451,61 -0,966666666666669
517 451,52 3,51666666666667
518 451,44 0,866666666666674
519 451,36 2,90000000000001
520 451,27 1,59999999999999
521 451,19 3,03333333333333
522 451,11 2,83333333333333
523 451,02 1,38333333333335
524 450,94 -3,73333333333333
525 450,86 0,766666666666666
526 450,77 4,98333333333333
527 450,69 -1,28333333333333
528 450,61 3,40000000000001
529 450,52 0,549999999999997
530 450,44 -1,88333333333333
531 450,36 0,316666666666663
532 450,27 2,58333333333333
533 450,19 1,5
534 450,11 -1,75
535 450,02 1,58333333333334
536 449,94 -3,41666666666667
537 449,85 2,41666666666667
538 449,77 -8,75
539 449,69 -1,09999999999999
540 449,6 -2,59999999999999
541 449,52 2,95
542 449,44 -1,58333333333333
543 449,35 6,73333333333335
544 449,27 -0,200000000000003
545 449,19 5,46666666666667
546 449,1 -1,45
547 449,02 2,41666666666666
548 448,94 -3,73333333333333
549 448,85 -0,933333333333323
550 448,77 -3,21666666666667
551 448,69 0,150000000000006
552 448,6 1,91666666666666
553 448,52 0,233333333333334
554 448,44 -5,68333333333332
555 448,35 -1,15000000000001
556 448,27 -5,13333333333335
557 448,19 -5,41666666666667
558 448,1 -3,5
559 448,02 -2,48333333333333
560 447,94 -5
561 447,85 -1,06666666666668
562 447,77 -1,2
563 447,69 -4,43333333333332
564 447,6 -0,866666666666674
565 447,52 -3,28333333333333
566 447,44 -4,31666666666668
567 447,35 -8,81666666666668
568 447,27 -1,15000000000001
569 447,19 -0,899999999999999
570 447,1 -4,38333333333333
571 447,02 -2,86666666666665
572 446,94 -2,93333333333334
573 446,85 -5,15000000000001
574 446,77 0,483333333333334
575 446,68 -5,19999999999999
576 446,6 -4,40000000000001
577 446,52 -5,51666666666667
578 446,43 -5,06666666666666
579 446,35 -2,38333333333335
580 446,27 -3,83333333333333
581 446,18 -5,31666666666666
582 446,1 -6,18333333333332
583 446,02 -5,13333333333334
584 445,93 0,916666666666671
585 445,85 -3,95
586 445,77 -6,28333333333333
587 445,68 -2,48333333333333
588 445,6 -8,45
589 445,52 -3,76666666666667
590 445,43 -9
591 445,35 -5,61666666666666
592 445,27 -7,96666666666667
593 445,18 -4,5
594 445,1 -4,15000000000001
595 445,02 -3,5
596 444,93 -4,34999999999999
597 444,85 -1,98333333333333
598 444,77 -8,5
599 444,68 -5,19999999999999
600 444,6 -1,90000000000001
601 444,52 0,0833333333333357
602 444,43 -6,21666666666667
603 444,35 -3,61666666666667
604 444,27 -3,05000000000001
605 444,18 -5,81666666666668
606 444,1 -1,36666666666667
607 444,02 -2,34999999999999
608 443,93 -7,11666666666666
609 443,85 -8,38333333333333
610 443,77 -7,11666666666667
611 443,68 -1,36666666666667
612 443,6 -8,98333333333333
613 443,51 -6,28333333333333
614 443,43 -7,7
615 443,35 -7,11666666666665
616 443,26 -7,63333333333333
617 443,18 -3,25
618 443,1 -2,90000000000001
619 443,01 -2,90000000000001
620 442,93 -3,65000000000001
621 442,85 -3,90000000000001
622 442,76 -7,58333333333333
623 442,68 -8,30000000000001
624 442,6 -2,36666666666667
625 442,51 -5,21666666666667
626 442,43 -5,58333333333333
627 442,35 -1,95
628 442,26 -5,75
629 442,18 -2,28333333333333
630 442,1 -7,03333333333333
631 442,01 -3,11666666666667
632 441,93 -1,90000000000001
633 441,85 3,41666666666667
634 441,76 0,183333333333323
635 441,68 0,583333333333329
636 441,6 -2,2
637 441,51 -0,216666666666669
638 441,43 0,0833333333333286
639 441,35 -3,58333333333333
640 441,26 -3,28333333333333
641 441,18 -2,5
642 441,1 -3,15000000000001
643 441,01 -5,88333333333333
644 440,93 -5,95
645 440,85 -2,2
646 440,76 -1,58333333333333
647 440,68 -0,533333333333331
648 440,6 -1,73333333333333
649 440,51 -4,46666666666666
650 440,43 -2,90000000000001
651 440,34 -4,83333333333333
652 440,26 -1,7
653 440,18 -4,40000000000001
654 440,09 -4,18333333333332
655 440,01 -2,55
656 439,93 -5,28333333333333
657 439,84 -6,03333333333333
658 439,76 -4,71666666666667
659 439,68 -5,58333333333333
660 439,59 -4,7
661 439,51 -4,48333333333333
662 439,43 -1,73333333333333
663 439,34 -5,98333333333335
664 439,26 -5,46666666666667
665 439,18 -2,11666666666667
666 439,09 -3,91666666666667
667 439,01 -2,53333333333333
668 438,93 -7,84999999999999
669 438,84 -3,11666666666667
670 438,76 -4,68333333333332
671 438,68 -2,56666666666668
672 438,59 -0,650000000000006
673 438,51 -1,58333333333333
674 438,43 -1,09999999999999
675 438,34 -4,23333333333333
676 438,26 -1,28333333333333
677 438,18 -3,40000000000001
678 438,09 -3,96666666666666
679 438,01 -0,566666666666677
680 437,93 -4,09999999999999
681 437,84 -4,03333333333333
682 437,76 -4,90000000000001
683 437,68 -2,7
684 437,59 -3,59999999999999
685 437,51 -2,55
686 437,43 -3,7
687 437,34 1,65000000000001
688 437,26 1,41666666666667
689 437,17 0,650000000000006
690 437,09 -3,31666666666668
691 437,01 -3,91666666666667
692 436,92 -3,5
693 436,84 -2,41666666666667
694 436,76 -5,98333333333333
695 436,67 -2,01666666666667
696 436,59 -4,45
697 436,51 -6,41666666666667
698 436,42 -2,83333333333333
699 436,34 -4,06666666666668
700 436,26 -4,03333333333333
701 436,17 -3,59999999999999
702 436,09 -0,450000000000003
703 436,01 1,63333333333333
704 435,92 0,383333333333326
705 435,84 3,58333333333333
706 435,76 -1,78333333333333
707 435,67 0,533333333333331
708 435,59 -1,76666666666667
709 435,51 -2,05
710 435,42 -0,416666666666671
711 435,34 -2,01666666666667
712 435,26 -2,46666666666667
713 435,17 2,56666666666668
714 435,09 -2,83333333333333
715 435,01 -0,0499999999999972
716 434,92 -2,31666666666668
717 434,84 2,95
718 434,76 8,81666666666668
719 434,67 12,6833333333333
720 434,59 9,71666666666665
721 434,51 33,6666666666667
722 434,42 34,7166666666667
723 434,34 26,4833333333333
724 434,25 1,53333333333333
725 434,17 3,84999999999999
726 434,09 -1,01666666666667
727 434 -0,449999999999989
728 433,92 0,549999999999997
729 433,84 -0,766666666666666
730 433,75 -1,98333333333333
731 433,67 -1,34999999999999
732 433,59 -0,0999999999999943
733 433,5 -2,95
734 433,42 -2,36666666666667
735 433,34 -2,71666666666668
736 433,25 -1,91666666666667
737 433,17 -0,116666666666674
738 433,09 -0,783333333333331
739 433 1,06666666666666
740 432,92 -2,40000000000001
741 432,84 -2,38333333333333
742 432,75 -5,7
743 432,67 -2,01666666666667
744 432,59 -3,59999999999999
745 432,5 0,0166666666666657
746 432,42 0,833333333333329
747 432,34 -5,59999999999999
748 432,25 -2,55
749 432,17 -6,16666666666667
750 432,09 -5,51666666666666
751 432 -4,05000000000001
752 431,92 -2,53333333333333
753 431,84 -6,78333333333333
754 431,75 -2,65000000000001
755 431,67 -3,31666666666668
756 431,59 -4,34999999999999
757 431,5 -4,93333333333334
758 431,42 -0,900000000000006
759 431,34 -2,73333333333333
760 431,25 -3,06666666666668
761 431,17 -3,91666666666667
762 431,08 -3,38333333333333
763 431 -2,71666666666667
764 430,92 -3,95
765 430,83 -5,11666666666667
766 430,75 -5,78333333333333
767 430,67 -3,51666666666665
768 430,58 -2,01666666666667
769 430,5 -4,3
770 430,42 -5,13333333333333
771 430,33 -4,46666666666667
772 430,25 -7,23333333333333
773 430,17 -3,05
774 430,08 -2,73333333333333
775 430 -3,51666666666667
776 429,92 -4,55
777 429,83 -5,03333333333333
778 429,75 -4,25
779 429,67 -3,01666666666667
780 429,58 -4,40000000000001
781 429,5 -4,40000000000001
782 429,42 -4,34999999999999
783 429,33 -6,38333333333333
784 429,25 -5,8
785 429,17 -5,3
786 429,08 -5,06666666666668
787 429 -4,16666666666667
788 428,92 -4,76666666666667
789 428,83 -8,03333333333333
790 428,75 -9,63333333333333
791 428,67 -1,95
792 428,58 -2,55
793 428,5 -5,83333333333333
794 428,42 -5,71666666666667
795 428,33 -4,18333333333332
796 428,25 5,55000000000001
797 428,17 12,5
798 428,08 16,0166666666667
799 428 4,56666666666668
800 427,91 -0,283333333333331
801 427,83 -0,0666666666666771
802 427,75 -4,78333333333333
803 427,66 -1,2
804 427,58 2,51666666666667
805 427,5 1,38333333333333
806 427,41 -1,41666666666667
807 427,33 7,98333333333333
808 427,25 10,5833333333333
809 427,16 11,0166666666667
810 427,08 8,13333333333333
811 427 5,08333333333333
812 426,91 4,26666666666667
813 426,83 5,75
814 426,75 2,75
815 426,66 2,98333333333333
816 426,58 1,13333333333333
817 426,5 5,45
818 426,41 3,18333333333332
819 426,33 1,75
820 426,25 3,90000000000001
821 426,16 3,48333333333333
822 426,08 -2,09999999999999
823 426 3,91666666666667
824 425,91 -1,98333333333333
825 425,83 2,45
826 425,75 -1,90000000000001
827 425,66 -2,93333333333332
828 425,58 -2,5
829 425,5 -0,700000000000003
830 425,41 0,516666666666666
831 425,33 -1,83333333333333
832 425,25 -2,3
833 425,16 0,416666666666671
834 425,08 -5,58333333333333
835 425 -4,65000000000001
836 424,91 0,266666666666666
837 424,83 -5,98333333333333
838 424,74 -2,65000000000001
839 424,66 -2,40000000000001
840 424,58 -2,8
841 424,49 -2,88333333333333
842 424,41 -4,98333333333333
843 424,33 -2,90000000000001
844 424,24 -0,900000000000006
845 424,16 -4,28333333333333
846 424,08 3,06666666666668
847 423,99 1,61666666666667
848 423,91 5,26666666666665
849 423,83 2,26666666666667
850 423,74 -5,13333333333333
851 423,66 -2,88333333333333
852 423,58 -0,883333333333326
853 423,49 -1,18333333333332
854 423,41 -2,41666666666667
855 423,33 -3,43333333333332
856 423,24 -4,21666666666667
857 423,16 -1,91666666666667
858 423,08 -2,73333333333333
859 422,99 -0,783333333333331
860 422,91 -0,516666666666666
861 422,83 -2,53333333333333
862 422,74 -3,58333333333333
863 422,66 -0,883333333333326
864 422,58 -2,55
865 422,49 -0,683333333333323
866 422,41 -2,28333333333333
867 422,33 -3,43333333333332
868 422,24 -4,28333333333333
869 422,16 1,46666666666667
870 422,08 -5,75
871 421,99 -4,08333333333333
872 421,91 -6,59999999999999
873 421,83 -0,333333333333329
874 421,74 -5,68333333333332
875 421,66 -2,90000000000001
876 421,57 -4,65000000000001
877 421,49 -5,18333333333332
878 421,41 -2,7
879 421,32 -0,966666666666669
880 421,24 -6,53333333333333
881 421,16 -2,58333333333333
882 421,07 -5,71666666666667
883 420,99 -4,95
884 420,91 -3,15000000000001
885 420,82 -4,88333333333333
886 420,74 -4,11666666666667
887 420,66 -1,66666666666667
888 420,57 2,09999999999999
889 420,49 5,98333333333333
890 420,41 13,5833333333333
891 420,32 18,7166666666667
892 420,24 15,85
893 420,16 8,81666666666668
894 420,07 2,95
895 419,99 5,81666666666668
896 419,91 3,13333333333334
897 419,82 0,766666666666666
898 419,74 2,61666666666667
899 419,66 2,84999999999999
900 419,57 2,31666666666668
901 419,49 1,98333333333333
902 419,41 2,31666666666668
903 419,32 1,81666666666668
904 419,24 2,41666666666667
905 419,16 3,98333333333333
906 419,07 6,34999999999999
907 418,99 2,84999999999999
908 418,91 1,95
909 418,82 2,43333333333332
910 418,74 -3,76666666666667
911 418,65 0,799999999999997
912 418,57 1,26666666666667
913 418,49 -1,83333333333333
914 418,4 -0,883333333333326
915 418,32 0,0166666666666657
916 418,24 -1,5
917 418,15 1,78333333333333
918 418,07 -3,76666666666667
919 417,99 -3,59999999999999
920 417,9 -1,53333333333333
921 417,82 -2,16666666666667
922 417,74 -1,43333333333332
923 417,65 -0,0333333333333314
924 417,57 -6,36666666666667
925 417,49 -5,88333333333334
926 417,4 -3,21666666666667
927 417,32 0,883333333333326
928 417,24 -4,61666666666667
929 417,15 -1,05
930 417,07 -3,76666666666667
931 416,99 0,799999999999997
932 416,9 -2,31666666666668
933 416,82 -2,66666666666667
934 416,74 -4,58333333333333
935 416,65 -1,66666666666667
936 416,57 -2,26666666666667
937 416,49 -1,90000000000001
938 416,4 -3,40000000000001
939 416,32 -1,51666666666667
940 416,24 -1,8
941 416,15 -1,7
942 416,07 -3,5
943 415,99 -0,316666666666677
944 415,9 -3,36666666666667
945 415,82 -5,5
946 415,74 -4,91666666666667
947 415,65 -5,71666666666667
948 415,57 -1,95
949 415,48 0,233333333333334
950 415,4 -4,38333333333333
951 415,32 -6,51666666666667
952 415,23 -5,91666666666667
953 415,15 -3,83333333333333
954 415,07 -1,75
955 414,98 -5,41666666666667
956 414,9 -1,81666666666668
957 414,82 -5,98333333333333
958 414,73 -9,11666666666667
959 414,65 -2
960 414,57 0,283333333333331
961 414,48 5,98333333333333
962 414,4 8,84999999999999
963 414,32 12,8833333333334
964 414,23 1,75
965 414,15 -1,23333333333333
966 414,07 -1,56666666666668
967 413,98 0,833333333333329
968 413,9 -3,56666666666668
969 413,82 -1,91666666666667
970 413,73 -2,53333333333333
971 413,65 -2
972 413,57 -2,95
973 413,48 -2,15000000000001
974 413,4 -2,68333333333332
975 413,32 -0,683333333333323
976 413,23 -3,66666666666667
977 413,15 0,0499999999999972
978 413,07 -4,51666666666667
979 412,98 -2,41666666666667
980 412,9 -5,33333333333333
981 412,82 -1,83333333333333
